sample	tissue	type	sample_type
GTEX-QMRM-0126-SM-4R1K9	ACC	ACC_normal_GTEx	normal
GTEX-S32W-0126-SM-4AD61	ACC	ACC_normal_GTEx	normal
GTEX-ZUA1-1926-SM-5E45E	ACC	ACC_normal_GTEx	normal
GTEX-ZY6K-0126-SM-5SIAM	ACC	ACC_normal_GTEx	normal
GTEX-ZYWO-0126-SM-5GZWQ	ACC	ACC_normal_GTEx	normal
GTEX-XQ3S-1726-SM-4BOOD	ACC	ACC_normal_GTEx	normal
GTEX-ZF2S-0126-SM-4WKFO	ACC	ACC_normal_GTEx	normal
GTEX-XV7Q-0226-SM-4BRVL	ACC	ACC_normal_GTEx	normal
GTEX-P4QS-1326-SM-3NMCD	ACC	ACC_normal_GTEx	normal
GTEX-W5WG-1126-SM-4LMK4	ACC	ACC_normal_GTEx	normal
GTEX-13O1R-2326-SM-5IJF9	ACC	ACC_normal_GTEx	normal
GTEX-V1D1-0226-SM-4JBHG	ACC	ACC_normal_GTEx	normal
GTEX-REY6-1726-SM-48FDL	ACC	ACC_normal_GTEx	normal
GTEX-PWCY-0226-SM-48TD8	ACC	ACC_normal_GTEx	normal
GTEX-O5YT-1326-SM-3MJGR	ACC	ACC_normal_GTEx	normal
GTEX-131YS-2026-SM-5P9J8	ACC	ACC_normal_GTEx	normal
GTEX-PLZ6-0226-SM-3P61I	ACC	ACC_normal_GTEx	normal
GTEX-12WSN-0926-SM-5GCN1	ACC	ACC_normal_GTEx	normal
GTEX-Q734-0126-SM-48U1E	ACC	ACC_normal_GTEx	normal
GTEX-Q2AH-0126-SM-48U2B	ACC	ACC_normal_GTEx	normal
GTEX-ZA64-0226-SM-5HL9C	ACC	ACC_normal_GTEx	normal
GTEX-S33H-1326-SM-4AD6A	ACC	ACC_normal_GTEx	normal
GTEX-12WSD-2126-SM-5LZWK	ACC	ACC_normal_GTEx	normal
GTEX-13O61-0126-SM-5KM4P	ACC	ACC_normal_GTEx	normal
GTEX-X4LF-0126-SM-4QAS7	ACC	ACC_normal_GTEx	normal
GTEX-PWOO-0326-SM-48TDB	ACC	ACC_normal_GTEx	normal
GTEX-Y5V6-1926-SM-5IFIL	ACC	ACC_normal_GTEx	normal
GTEX-UJMC-0226-SM-4IHLH	ACC	ACC_normal_GTEx	normal
GTEX-ZLFU-0826-SM-4WWBP	ACC	ACC_normal_GTEx	normal
GTEX-13QBU-0526-SM-5IJFE	ACC	ACC_normal_GTEx	normal
GTEX-YB5E-0226-SM-5IFHI	ACC	ACC_normal_GTEx	normal
GTEX-U3ZM-0226-SM-4DXTA	ACC	ACC_normal_GTEx	normal
GTEX-12WSL-0326-SM-5CVMK	ACC	ACC_normal_GTEx	normal
GTEX-11EM3-0326-SM-5A5KJ	ACC	ACC_normal_GTEx	normal
GTEX-PLZ5-0326-SM-3P614	ACC	ACC_normal_GTEx	normal
GTEX-QXCU-1326-SM-48FE2	ACC	ACC_normal_GTEx	normal
GTEX-132AR-1726-SM-5EGHQ	ACC	ACC_normal_GTEx	normal
GTEX-ZVP2-0126-SM-5NQ7D	ACC	ACC_normal_GTEx	normal
GTEX-1339X-0826-SM-5J2O6	ACC	ACC_normal_GTEx	normal
GTEX-WYVS-0226-SM-4ONDK	ACC	ACC_normal_GTEx	normal
GTEX-11EQ9-0126-SM-5986I	ACC	ACC_normal_GTEx	normal
GTEX-11TT1-0126-SM-5LUAA	ACC	ACC_normal_GTEx	normal
GTEX-XUZC-0226-SM-4BOO7	ACC	ACC_normal_GTEx	normal
GTEX-14C38-1726-SM-5RQJC	ACC	ACC_normal_GTEx	normal
GTEX-ZDTT-0126-SM-4WKHA	ACC	ACC_normal_GTEx	normal
GTEX-146FR-1526-SM-5SIB8	ACC	ACC_normal_GTEx	normal
GTEX-QCQG-0126-SM-48U27	ACC	ACC_normal_GTEx	normal
GTEX-ZP4G-0126-SM-4YCE3	ACC	ACC_normal_GTEx	normal
GTEX-SUCS-0526-SM-5CHSV	ACC	ACC_normal_GTEx	normal
GTEX-S341-0126-SM-4AD64	ACC	ACC_normal_GTEx	normal
GTEX-ZTSS-0326-SM-5987M	ACC	ACC_normal_GTEx	normal
GTEX-117YX-0126-SM-5EGH5	ACC	ACC_normal_GTEx	normal
GTEX-PW2O-0226-SM-48TC7	ACC	ACC_normal_GTEx	normal
GTEX-S4Z8-0126-SM-4GICC	ACC	ACC_normal_GTEx	normal
GTEX-11DXZ-0226-SM-5EGGZ	ACC	ACC_normal_GTEx	normal
GTEX-132QS-0126-SM-5IFH9	ACC	ACC_normal_GTEx	normal
GTEX-NFK9-1726-SM-3TW8P	ACC	ACC_normal_GTEx	normal
GTEX-12696-0626-SM-5EGGD	ACC	ACC_normal_GTEx	normal
GTEX-V955-0126-SM-4JBH5	ACC	ACC_normal_GTEx	normal
GTEX-Y5V5-1326-SM-4V6G9	ACC	ACC_normal_GTEx	normal
GTEX-R55G-0126-SM-48FDS	ACC	ACC_normal_GTEx	normal
GTEX-145MN-0226-SM-5QGPY	ACC	ACC_normal_GTEx	normal
GTEX-1399R-0326-SM-5KM1X	ACC	ACC_normal_GTEx	normal
GTEX-13FH7-0226-SM-5IFGG	ACC	ACC_normal_GTEx	normal
GTEX-QLQ7-0126-SM-4R1JW	ACC	ACC_normal_GTEx	normal
GTEX-13PVR-0226-SM-5RQJI	ACC	ACC_normal_GTEx	normal
GTEX-XMK1-0226-SM-4B65D	ACC	ACC_normal_GTEx	normal
GTEX-WY7C-0326-SM-4OND5	ACC	ACC_normal_GTEx	normal
GTEX-1399U-0226-SM-5P9J2	ACC	ACC_normal_GTEx	normal
GTEX-131XF-0126-SM-5DUVF	ACC	ACC_normal_GTEx	normal
GTEX-ZYFG-0926-SM-5BC5U	ACC	ACC_normal_GTEx	normal
GTEX-Y3IK-0226-SM-51MRJ	ACC	ACC_normal_GTEx	normal
GTEX-YFCO-0126-SM-4W1YT	ACC	ACC_normal_GTEx	normal
GTEX-ZT9W-0126-SM-4YCFD	ACC	ACC_normal_GTEx	normal
GTEX-13W3W-1326-SM-5LU4T	ACC	ACC_normal_GTEx	normal
GTEX-12ZZZ-0926-SM-5N9EQ	ACC	ACC_normal_GTEx	normal
GTEX-14A5I-2126-SM-5NQA8	ACC	ACC_normal_GTEx	normal
GTEX-YF7O-0126-SM-5IFIR	ACC	ACC_normal_GTEx	normal
GTEX-13D11-0426-SM-5LZYA	ACC	ACC_normal_GTEx	normal
GTEX-1399S-0426-SM-5IFG5	ACC	ACC_normal_GTEx	normal
GTEX-RUSQ-0226-SM-47JWT	ACC	ACC_normal_GTEx	normal
GTEX-111YS-0126-SM-5987T	ACC	ACC_normal_GTEx	normal
GTEX-132NY-2226-SM-5J2LZ	ACC	ACC_normal_GTEx	normal
GTEX-14H4A-0226-SM-5SI6Q	ACC	ACC_normal_GTEx	normal
GTEX-13OVI-1226-SM-5J2ME	ACC	ACC_normal_GTEx	normal
GTEX-13OW6-1726-SM-5IJGI	ACC	ACC_normal_GTEx	normal
GTEX-R53T-0226-SM-48FEH	ACC	ACC_normal_GTEx	normal
GTEX-13O21-0126-SM-5IJE8	ACC	ACC_normal_GTEx	normal
GTEX-ZZPU-1226-SM-5N9CK	ACC	ACC_normal_GTEx	normal
GTEX-11GSP-0326-SM-5A5KW	ACC	ACC_normal_GTEx	normal
GTEX-RM2N-0126-SM-48FDD	ACC	ACC_normal_GTEx	normal
GTEX-11DXY-1626-SM-5H12L	ACC	ACC_normal_GTEx	normal
GTEX-R55C-0226-SM-48FEO	ACC	ACC_normal_GTEx	normal
GTEX-ZYVF-1626-SM-5N9EH	ACC	ACC_normal_GTEx	normal
GTEX-14DAQ-1826-SM-5S2VV	ACC	ACC_normal_GTEx	normal
GTEX-11P7K-0126-SM-5986E	ACC	ACC_normal_GTEx	normal
GTEX-QLQW-0226-SM-447BJ	ACC	ACC_normal_GTEx	normal
GTEX-147F4-2526-SM-5NQBB	ACC	ACC_normal_GTEx	normal
GTEX-WFG8-0126-SM-5CHTB	ACC	ACC_normal_GTEx	normal
GTEX-VUSG-1526-SM-4KKZH	ACC	ACC_normal_GTEx	normal
GTEX-U3ZN-0826-SM-4DXSZ	ACC	ACC_normal_GTEx	normal
GTEX-QEG5-1826-SM-4R1JP	ACC	ACC_normal_GTEx	normal
GTEX-VJYA-0526-SM-4KL1R	ACC	ACC_normal_GTEx	normal
GTEX-ZLV1-0226-SM-4WWC1	ACC	ACC_normal_GTEx	normal
GTEX-131XG-1326-SM-5DUX4	ACC	ACC_normal_GTEx	normal
GTEX-11I78-1826-SM-5A5M4	ACC	ACC_normal_GTEx	normal
GTEX-O5YV-1126-SM-3LK73	ACC	ACC_normal_GTEx	normal
GTEX-14E1K-0626-SM-5S2PG	ACC	ACC_normal_GTEx	normal
GTEX-11XUK-0126-SM-5CVLK	ACC	ACC_normal_GTEx	normal
GTEX-145LT-0126-SM-5S2QJ	ACC	ACC_normal_GTEx	normal
GTEX-TKQ2-0226-SM-4DM6V	ACC	ACC_normal_GTEx	normal
GTEX-P4QT-1326-SM-3NMD3	ACC	ACC_normal_GTEx	normal
GTEX-11NSD-0226-SM-5A5LR	ACC	ACC_normal_GTEx	normal
GTEX-PX3G-1326-SM-48U18	ACC	ACC_normal_GTEx	normal
GTEX-ZLWG-0126-SM-4WWC5	ACC	ACC_normal_GTEx	normal
GTEX-XUJ4-0126-SM-4BOP7	ACC	ACC_normal_GTEx	normal
GTEX-WHPG-1526-SM-4M1ZK	ACC	ACC_normal_GTEx	normal
GTEX-11DXX-0126-SM-5EGH7	ACC	ACC_normal_GTEx	normal
GTEX-Q2AI-0226-SM-48U1D	ACC	ACC_normal_GTEx	normal
GTEX-QDVJ-1126-SM-48U1U	ACC	ACC_normal_GTEx	normal
GTEX-S3XE-0126-SM-4AD4R	ACC	ACC_normal_GTEx	normal
GTEX-OIZH-1326-SM-3NB1H	ACC	ACC_normal_GTEx	normal
GTEX-13N11-0826-SM-5IJFP	ACC	ACC_normal_GTEx	normal
GTEX-Y9LG-0126-SM-5Q59W	ACC	ACC_normal_GTEx	normal
GTEX-11EMC-0526-SM-5EGJN	ACC	ACC_normal_GTEx	normal
GTEX-TMMY-0126-SM-4DXTP	ACC	ACC_normal_GTEx	normal
GTEX-12WSJ-0126-SM-5GCOM	ACC	ACC_normal_GTEx	normal
GTEX-U4B1-0126-SM-4DXSN	ACC	ACC_normal_GTEx	normal
GTEX-139YR-0126-SM-5IJEY	ACC	ACC_normal_GTEx	normal
GTEX-1211K-0126-SM-59HJE	ACC	ACC_normal_GTEx	normal
GTEX-OOBK-3125-SM-3LK5R	ACC	ACC_normal_GTEx	normal
GTEX-X4EO-1726-SM-4QARN	ACC	ACC_normal_GTEx	normal
GTEX-OHPK-1326-SM-3MJGN	ACC	ACC_normal_GTEx	normal
GTEX-S4Q7-0226-SM-4AD5O	ACC	ACC_normal_GTEx	normal
GTEX-WQUQ-0126-SM-4OOSS	ACC	ACC_normal_GTEx	normal
GTEX-14753-1726-SM-5NQ9X	ACC	ACC_normal_GTEx	normal
GTEX-RWSA-1726-SM-47JX7	ACC	ACC_normal_GTEx	normal
GTEX-OHPL-1326-SM-3MJGG	ACC	ACC_normal_GTEx	normal
GTEX-148VJ-1626-SM-5QGPH	ACC	ACC_normal_GTEx	normal
GTEX-ZVT2-0826-SM-5GIEO	ACC	ACC_normal_GTEx	normal
GTEX-T6MO-0126-SM-4DM6X	ACC	ACC_normal_GTEx	normal
GTEX-13OW7-2726-SM-5L3HN	ACC	ACC_normal_GTEx	normal
GTEX-Y114-0526-SM-4TT8V	ACC	ACC_normal_GTEx	normal
GTEX-14BMU-0126-SM-5S2Q9	ACC	ACC_normal_GTEx	normal
GTEX-OXRK-0126-SM-3NB1E	ACC	ACC_normal_GTEx	normal
GTEX-13FTW-0126-SM-5IJED	ACC	ACC_normal_GTEx	normal
GTEX-WFG8-0126-SM-4LVMH	ACC	ACC_normal_GTEx	normal
GTEX-13PL7-1026-SM-5MR5C	ACC	ACC_normal_GTEx	normal
GTEX-13CF3-0126-SM-5IFFM	ACC	ACC_normal_GTEx	normal
